Example,Category,True Label,Predicted,Correct,Confidence,Top 1 Token,Top 1 Score,Text Preview
1,Correct (World),World,World,✓,0.999,.,0.2338,Sister of man who died in Vancouver police custody slams chief (Canadian Press) ...
2,Correct (Sports),Sports,Sports,✓,0.929,.,0.3119,Giddy Phelps Touches Gold for First Time Michael Phelps won the gold medal in th...
3,Correct (Business),Business,Business,✓,0.989,.,0.2415,Fears for T N pension after talks Unions representing workers at Turner   Newall...
4,Correct (SciTech),SciTech,SciTech,✓,0.997,.,0.1865,The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPAC...
5,"BERT Correct, SVC Wrong",SciTech,SciTech,✓,0.992,.,0.1199,Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fi...
6,"BERT Correct, SVC Wrong",SciTech,SciTech,✓,0.597,",",0.0856,Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO...
7,"BERT Correct, SVC Wrong",SciTech,SciTech,✓,0.949,promoting,0.1347,Promoting a Shared Vision As Michael Kaleko kept running into people who were ge...
8,BERT Wrong,SciTech,Business,✗,0.585,plans,0.1169,"IBM to hire even more new workers By the end of the year, the computing giant pl..."
9,BERT Wrong,SciTech,Business,✗,0.965,.,0.1466,Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a ...
10,BERT Wrong,World,Business,✗,0.917,.,0.2947,Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible...
